月份/地点,朝阳门预测,朝阳门实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东铁营预测,东铁营实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,前门预测,前门实际,王佐镇预测,王佐镇实际,西罗园预测,西罗园实际,西长安街预测,西长安街实际,右安门预测,右安门实际,月坛预测,月坛实际
22.0,48.50382,89.0,13.407547,13.0,5.151509,17.0,300.5846,330.0,10.865866,11.0,60.152557,62.999996,0.8958959,1.0,116.32827,248.0,36.581833,27.0,3.0410063,3.0,45.598988,108.0,0.966967,1.0,62.068943,119.00001
11.0,74.742165,74.0,19.578154,15.0,16.429342,21.0,226.42387,308.0,58.931984,59.000004,60.43142,57.000004,4.2953987,3.0,114.23533,103.0,94.59061,139.0,7.383065,7.0000005,46.709927,39.0,2.1353328,2.0,43.771152,109.0
36.0,159.76346,204.0,91.639824,91.0,17.864101,23.0,420.73596,716.0,78.67049,113.0,138.92134,126.0,29.578856,36.0,97.37114,152.0,44.8345,32.000004,22.688343,32.0,45.007442,46.0,13.782468,18.0,113.11717,110.0
30.0,176.14783,184.0,91.003265,103.00001,33.25893,33.0,665.7577,630.0,77.42728,74.0,100.039185,168.0,37.791378,45.0,131.70729,130.0,66.64323,66.0,16.048706,31.0,75.80097,73.0,8.941611,11.0,138.43204,114.0
38.0,86.3969,97.0,46.24078,47.0,4.722282,4.9999995,190.83752,194.99998,32.359016,33.0,86.62696,91.00001,9.649448,9.0,45.055977,44.0,13.862738,13.0,12.237161,12.0,13.299927,13.000001,6.1749167,6.0,62.501053,59.000004
32.0,165.672,154.0,94.51459,71.0,30.7295,39.0,564.53375,658.0,93.02302,90.0,118.99414,100.99999,36.617573,36.0,111.40447,112.0,79.5631,118.0,25.63274,27.000002,79.07452,75.0,12.937656,14.0,128.45073,134.0
44.0,87.900696,94.0,73.92029,71.0,23.532152,27.0,175.33559,266.0,38.905304,73.0,48.595963,52.0,29.127352,28.000002,79.6872,89.0,37.58397,38.0,22.41586,21.0,96.57117,86.0,14.13393,16.0,128.76581,112.0
14.0,35.29107,38.0,5.8068066,6.0,3.2014003,3.0,134.31944,143.0,24.693758,22.0,30.387835,28.0,2.0671709,2.0,70.58778,62.0,53.345135,41.0,5.524248,6.0,14.310348,14.0,1.9053391,2.0,23.824825,24.0
18.0,101.12994,93.0,22.503078,28.000002,13.733187,36.0,448.92197,380.99997,33.952217,59.000004,58.007206,54.0,7.776059,8.0,153.44815,157.0,72.187996,126.00001,5.7616653,10.0,59.537914,49.0,3.2953465,8.000001,85.269714,81.0
48.0,37.658745,36.0,90.31516,96.0,18.951286,17.0,62.256256,63.0,47.201157,61.000008,34.643085,33.0,17.989555,40.0,16.768768,17.0,13.535335,12.0,25.177662,32.0,87.08141,83.0,5.6910496,34.0,104.134605,115.0
12.0,64.94948,101.0,14.345811,26.0,13.210332,19.0,202.53978,259.0,51.89687,71.0,53.246662,61.999996,4.487918,6.0,104.54351,127.0,85.43705,98.0,7.286193,7.0000005,37.502636,72.0,2.1373065,2.0,37.443687,55.0
40.0,116.16409,104.99999,84.615486,141.0,7.803414,7.0,349.01883,456.99997,42.853363,38.0,109.1548,113.0,32.55927,36.0,67.08446,101.0,49.87152,44.0,28.594599,35.0,102.37066,105.99999,15.676975,19.0,147.93947,140.0
24.0,8.708709,9.0,51.74075,172.0,2.2857172,4.9999995,102.266716,98.0,10.865866,145.0,65.70095,179.0,0.8958959,105.0,52.47137,47.0,38.564342,134.0,7.7696676,21.0,44.557137,47.0,0.966967,19.0,51.64884,49.0
20.0,84.98107,81.0,17.728115,18.0,11.16068,11.0,406.37878,379.0,21.96564,21.0,60.672737,67.0,2.8849144,4.0,146.54633,180.0,58.056034,59.0,4.99762,6.0,53.59518,58.0,1.7479215,7.0000005,75.3228,68.0
34.0,147.71658,152.0,96.24428,199.0,18.313503,16.0,449.85544,449.0,91.977646,96.0,138.32217,137.0,26.36325,24.0,95.24465,86.0,84.36446,83.0,28.443523,27.000002,80.03976,117.0,15.048048,13.0,110.48581,102.00001
13.0,49.168953,43.0,7.48199,9.0,8.3862095,13.0,162.04605,142.0,39.652145,42.0,42.025814,55.0,4.0936418,5.0000005,85.99278,121.0,69.38659,75.0,6.950796,10.0,25.406239,26.000002,2.1214776,5.0,29.217913,54.0
28.0,157.11147,157.0,60.10403,57.0,17.31226,16.0,704.05096,749.0,45.90956,45.0,75.06119,72.0,14.628435,14.000001,160.14378,131.0,49.74072,96.0,1.9109108,3.0,69.45391,75.0,3.006568,3.0,124.310524,126.0
25.0,20.380434,37.0,42.35298,44.0,0.9509509,1.0,228.59186,254.0,10.865866,45.0,59.97132,60.0,0.8958959,7.0000005,78.79274,105.0,38.999863,40.000004,4.005588,4.0,23.16538,23.0,0.966967,7.0000005,46.492565,47.0
37.0,123.61985,108.00001,74.108315,92.0,8.373469,7.0,286.9366,232.0,55.968014,50.000004,124.50334,142.0,20.634,33.0,69.639336,70.0,26.662947,32.000004,19.32763,50.0,23.5746,20.0,11.296625,16.0,90.21841,123.0
46.0,88.30549,82.0,91.14138,97.00001,27.571224,34.0,118.44872,108.0,50.671307,54.0,49.551537,53.0,26.582666,32.0,56.632904,126.0,27.992954,23.0,24.96198,90.99999,104.160965,176.99998,11.183323,11.0,135.56348,150.0
23.0,19.275549,75.0,27.318604,40.0,2.6406057,20.0,205.83476,442.99997,10.865866,50.000004,63.21812,105.0,0.8958959,11.0,86.39641,187.0,34.558247,35.000004,3.9722142,4.0,43.672535,175.0,0.966967,4.0,54.222168,119.99999
29.0,184.66776,190.0,80.0498,104.0,28.242666,37.0,759.4295,806.0,62.983833,66.0,85.49039,84.0,27.395859,26.0,160.6876,187.0,54.52662,49.0,3.4051108,4.0,77.92161,128.0,5.3700924,5.0,143.03072,153.0
15.0,72.73021,103.0,7.4719815,11.0,8.273468,17.0,306.3592,321.0,32.135292,35.0,41.66312,48.000004,5.3717394,5.0000005,117.158195,168.0,64.41475,94.0,3.660171,4.0,32.09443,31.0,2.353007,2.0,49.01083,66.0
41.0,106.467155,139.0,80.12589,73.0,9.406109,19.0,322.25284,326.0,38.06565,47.000004,93.40564,99.0,32.77023,30.0,67.6421,59.0,51.4007,83.0,27.92881,28.000002,110.400536,118.00001,15.7001295,13.0,148.47453,199.0
35.0,177.23781,300.0,97.660225,86.0,24.627995,26.0,510.07367,782.0,91.56241,97.0,141.08029,154.0,33.81433,26.999998,115.00143,120.0,61.768852,62.0,24.26558,16.000002,62.011093,69.0,14.499776,17.0,123.79959,125.0
47.0,60.892628,69.0,90.00531,87.0,23.23583,22.0,62.256256,134.0,47.761703,36.0,43.62651,59.0,20.013014,17.0,21.799847,75.0,19.928259,24.0,25.043722,24.0,98.58135,128.0,7.6317244,7.0000005,119.413635,109.0
45.0,93.885124,99.0,85.22878,94.0,27.11338,37.0,161.86856,209.00002,46.808834,56.000004,49.00515,45.0,29.06409,26.999998,73.22343,129.0,32.552864,34.000004,23.803429,47.0,100.954,100.0,12.882694,13.0,135.87813,145.0
16.0,99.84831,87.0,14.934947,12.0,12.517879,13.0,425.30383,430.0,37.86962,44.0,50.813934,50.0,8.34882,7.0000005,148.79991,184.0,72.61656,108.0,2.9909964,3.0,47.67381,48.0,3.1058233,6.0,73.87122,99.0
43.0,75.14939,71.0,65.738304,71.0,16.60205,14.999999,167.20299,148.0,29.173433,27.0,48.04843,45.0,28.486431,32.0,70.71431,64.0,42.869427,42.000004,22.232012,21.0,98.239975,101.0,14.71342,27.0,122.01996,132.0
31.0,167.95683,170.0,93.01354,100.00001,32.929485,33.0,609.51105,712.0,86.59227,87.0,110.61421,165.99998,38.537792,57.000004,118.79216,117.0,76.19112,116.00001,22.66323,40.0,77.91313,73.0,11.110209,7.0000005,134.26526,155.0
19.0,100.501434,112.0,22.681702,21.0,13.818676,29.999998,454.80026,408.0,31.559113,57.000004,61.328392,55.0,6.3707643,10.0,157.24472,179.0,70.9676,98.0,6.209819,8.0,60.984016,76.0,2.8937078,15.0,84.50804,84.99999
42.0,87.90471,60.000004,70.03286,61.999996,12.910748,25.000002,243.68462,247.0,31.674883,36.0,65.81999,35.0,30.65805,17.0,68.60464,63.0,47.735218,36.0,24.493631,21.0,105.07209,63.0,14.943089,13.0,133.90668,128.0
21.0,68.74545,122.0,14.436846,19.0,8.737818,14.0,350.33527,334.0,14.465179,16.0,59.458584,74.0,0.8958959,8.0,131.81479,225.0,48.543476,105.00001,4.4641905,5.0,48.667065,59.999996,0.9717705,13.0,67.2663,76.0
39.0,93.7608,101.0,54.590294,123.99999,5.2505517,6.0,243.8303,312.0,32.828796,19.999998,91.928986,104.0,16.51113,29.000002,50.737972,65.0,23.20632,33.0,15.971436,45.000004,38.949837,34.0,8.777679,20.0,89.124725,93.0
27.0,97.91998,94.0,43.511757,82.0,5.7609434,6.0,497.94846,544.0,25.583378,60.000004,64.07555,80.0,4.8768644,12.0,124.89346,127.0,42.18106,203.0,1.9109108,5.0,44.38792,62.0,1.5273943,6.0,84.998924,68.0
33.0,148.1752,131.0,94.36055,94.0,23.307024,24.0,477.88583,798.00006,91.47226,84.0,128.13675,125.0,29.780924,41.0,95.44505,80.0,80.97581,143.0,27.436073,29.0,82.20861,66.0,14.21939,23.0,114.90299,144.0
17.0,110.54291,95.0,24.89916,15.0,14.821553,8.0,470.43835,433.00003,41.72302,58.000004,59.450565,41.0,10.4066105,9.0,156.71947,188.0,80.85364,138.0,6.6041403,7.0000005,62.08133,43.0,4.159973,4.0,87.88672,121.99999
26.0,56.641987,31.0,40.184856,57.0,0.9509509,7.0,361.77408,222.0,14.999452,42.0,61.11787,43.0,0.8958959,12.0,102.49382,79.0,39.98068,26.0,1.9109108,3.0,27.7338,18.0,0.9895062,3.0,61.98302,37.0
